strict_image_lineage_id	label_set_machine	label_set_readable	physical_paths	exact_components	source_ids	public_collections
CIFSTRICT_e7f573b37f4e646d	black_pod|frosty_pod	Black pod | Frosty pod	2	2	fig_roboflow_mixed|fig_spanish_yolov4	Roboflow mixed cacao/coffee | Spanish YOLOv4
CIFSTRICT_e7fb03af31bbf2fb	frosty_pod|healthy	Frosty pod | Healthy	2	1	zen_cocoamonilia	CocoaMonilia
CIFSTRICT_ead76899be750f01	frosty_pod|healthy	Frosty pod | Healthy	2	1	zen_cocoamonilia	CocoaMonilia
CIFSTRICT_eb28f42ba7ae2061	black_pod|healthy	Black pod | Healthy	2	2	fig_roboflow_mixed	Roboflow mixed cacao/coffee
CIFSTRICT_f02c3bbbc7809947	frosty_pod|healthy	Frosty pod | Healthy	2	1	zen_cocoamonilia	CocoaMonilia
CIFSTRICT_f2132f653a01b08c	black_pod|mirid_damage	Black pod | Mirid damage	2	2	fig_roboflow_mixed	Roboflow mixed cacao/coffee
CIFSTRICT_f535903984f02ebc	healthy|mirid_damage	Healthy | Mirid damage	2	2	fig_roboflow_mixed	Roboflow mixed cacao/coffee
CIFSTRICT_f6ded8043a14b2f1	healthy|mirid_damage	Healthy | Mirid damage	2	2	fig_roboflow_mixed	Roboflow mixed cacao/coffee
CIFSTRICT_f763ddd8e7bda1fa	healthy|mirid_damage	Healthy | Mirid damage	2	2	fig_roboflow_mixed	Roboflow mixed cacao/coffee
CIFSTRICT_f983c2a25472e268	healthy|mirid_damage	Healthy | Mirid damage	2	2	fig_roboflow_mixed	Roboflow mixed cacao/coffee
